64148,245.2
67118,212.35
40813,212.35
18229,231.48
51012,252.76
79168,243.68
54923,243.68
67651,249.44
49448,221.63
27702,283.08
47387,326.98
50014,287.3
33608,268.49
06239,268.49
54919,243.77
46706,243.77
14846,243.77
48872,243.77
43343,243.77
77052,243.72
07734,243.72
95327,243.72
12961,243.72
26716,278.9
48435,278.9
53181,306.56
52654,230.29
58703,297.93
91945,297.93
52146,254.56
56097,254.56
21777,254.56
42330,254.56
38849,285.69
77586,243.72
39745,265.73
03299,240.45
63359,240.45
60094,209.95
15935,183.94
39845,325.64
48418,325.64
28411,307.51
37333,219.29
75939,234.5
07184,234.5
86313,292.9
61232,222.38
20047,222.38
47452,222.38
